---,ObjectType,Variant,Prefix,Suffix,bStripPrefixFromNonMatchingAssets,bStripSuffixFromNonMatchingAssets,Description
NiagaraDynamicInputScript,"/Script/NiagaraEditor.NiagaraDynamicInputScriptFactory","","NDIS_","","True","True",""
NiagaraEffectType,"/Script/Niagara.NiagaraEffectType","","NET_","","True","True",""
NiagaraEmitter,"/Script/Niagara.NiagaraEmitter","","NE_","","True","True",""
NiagaraFunctionScript,"/Script/NiagaraEditor.NiagaraFunctionScriptFactory","","NFS_","","True","True",""
NiagaraParameterCollection,"/Script/Niagara.NiagaraParameterCollection","","NPC_","","True","True",""
NiagaraParameterCollectionInstance,"/Script/Niagara.NiagaraParameterCollectionInstance","","NPCI_","","True","True",""
NiagaraSystem,"/Script/Niagara.NiagaraSystem","","NS_","","True","True",""
