---,ObjectType,Variant,Prefix,Suffix,bStripPrefixFromNonMatchingAssets,bStripSuffixFromNonMatchingAssets,Description
AIFController,"/Script/AIModule.AIController","","AIC_","","True","True",""
BehaviorTree,"/Script/AIModule.BehaviorTree","","BT_","","True","True",""
BlackboardData,"/Script/AIModule.BlackboardData","","BB_","","True","True",""
BTTask_BlueprintBase,"/Script/AIModule.BTTask_BlueprintBase","","BTT_","","True","True",""
Decorator,"/Script/AIModule.BTDecorator","","BTD_","","True","True",""
EnvironmentQuery,"/Script/AIModule.EnvQuery","","EQS_","","True","True",""
EnvironmentQueryContext,"/Script/AIModule.EnvQueryContext","","EQS_","_Context","True","True",""
Service,"/Script/AIModule.BTService","","BTS_","","True","True",""
