---,ObjectType,Variant,Prefix,Suffix,bStripPrefixFromNonMatchingAssets,bStripSuffixFromNonMatchingAssets,Description
MetaSoundSourcePreset,"/Script/MetasoundEngine.MetaSoundSource","Preset","MSP_","","True","True",""
MetaSoundSource,"/Script/MetasoundEngine.MetaSoundSource","","MS_","","True","True",""
