---,ObjectType,Variant,Prefix,Suffix,bStripPrefixFromNonMatchingAssets,bStripSuffixFromNonMatchingAssets,Description
LandscapeGrassType,"/Script/Landscape.LandscapeGrassType","","LG_","","True","True",""
LandscapeLayerInfoObject,"/Script/Landscape.LandscapeLayerInfoObject","","","_LayerInfo","True","True",""
