---,ObjectType,Variant,Prefix,Suffix,bStripPrefixFromNonMatchingAssets,bStripSuffixFromNonMatchingAssets,Description
SubstanceGraphInstance,"/Script/SubstanceCore.SubstanceGraphInstance","","SGI_","","True","True",""
SubstanceInstanceFactory,"/Script/SubstanceCore.SubstanceInstanceFactory","","SIF_","","True","True",""
