---,ObjectType,Variant,Prefix,Suffix,bStripPrefixFromNonMatchingAssets,bStripSuffixFromNonMatchingAssets,Description
CommonButtonStyle,"/Script/CommonUI.CommonButtonStyle","","ButtonStyle_","","True","True",""
CommonTextStyle,"/Script/CommonUI.CommonTextStyle","","TextStyle_","","True","True",""
CommonInputControllerData,"/Script/CommonInput.CommonInputBaseControllerData","","ControllerData_","","True","True",""
