---,ObjectType,Variant,Prefix,Suffix,bStripPrefixFromNonMatchingAssets,bStripSuffixFromNonMatchingAssets,Description
FileMediaSource,"/Script/MediaAssets.FileMediaSource","","FMS_","","True","True",""
MediaPlayer,"/Script/MediaAssets.MediaPlayer","","MP_","","True","True",""
MediaTexture,"/Script/MediaAssets.MediaTexture","","MT_","","True","True",""
