---,ObjectType,Variant,Prefix,Suffix,bStripPrefixFromNonMatchingAssets,bStripSuffixFromNonMatchingAssets,Description
IKRetargeter,"/Script/IKRig.IKRetargeter","","RTG_","","True","True",""
IKRigDefinition,"/Script/IKRig.IKRigDefinition","","IK_","","True","True",""
