---,ObjectType,Variant,Prefix,Suffix,bStripPrefixFromNonMatchingAssets,bStripSuffixFromNonMatchingAssets,Description
GameplayAbility,"/Script/GameplayAbilities.GameplayAbility","","GA_","","True","True",""
GameplayEffect,"/Script/GameplayAbilities.GameplayEffect","","GE_","","True","True",""
UGameplayCueNotify_Static,"/Script/GameplayAbilities.GameplayCueNotify_Static","","GCN_","","True","True",""
UGameplayCueNotify_Actor,"/Script/GameplayAbilities.GameplayCueNotify_Actor","","GCNL_","","True","True",""
