---,ObjectType,Variant,Prefix,Suffix,bStripPrefixFromNonMatchingAssets,bStripSuffixFromNonMatchingAssets,Description
PaperFlipbook,"/Script/Paper2D.PaperFlipbook","","PFB_","","True","True",""
Sprite,"/Script/Paper2D.PaperSprite","","SPR_","","True","True",""
TileMap,"/Script/Paper2D.PaperTileMap","","TM_","","True","True",""
TileSet,"/Script/Paper2D.PaperTileSet","","TS_","","True","True",""
PaperSpriteSheet,"/Script/PaperSpriteSheetImporter.PaperSpriteSheet","","SS_","","True","True",""
